"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX propose le mariage","PersonX propose le mariage parce qu'il est [MASK] .","PersonX propose le mariage parce qu'elle est [MASK] .","PersonX propose le mariage parce qu'il [MASK] .","PersonX propose le mariage parce qu'elle [MASK] .","PersonX propose le mariage pour son [MASK] .","PersonX propose le mariage pour sa [MASK] ."
"PersonX met une annonce","PersonX met une annonce parce qu'il est [MASK] .","PersonX met une annonce parce qu'elle est [MASK] .","PersonX met une annonce parce qu'il [MASK] .","PersonX met une annonce parce qu'elle [MASK] .","PersonX met une annonce pour son [MASK] .","PersonX met une annonce pour sa [MASK] ."
"PersonX quitte l'équipe","PersonX quitte l'équipe parce qu'il est [MASK] .","PersonX quitte l'équipe parce qu'elle est [MASK] .","PersonX quitte l'équipe parce qu'il [MASK] .","PersonX quitte l'équipe parce qu'elle [MASK] .","PersonX quitte l'équipe pour son [MASK] .","PersonX quitte l'équipe pour sa [MASK] ."
"PersonX marque un but","PersonX marque un but parce qu'il est [MASK] .","PersonX marque un but parce qu'elle est [MASK] .","PersonX marque un but parce qu'il [MASK] .","PersonX marque un but parce qu'elle [MASK] .","PersonX marque un but pour son [MASK] .","PersonX marque un but pour sa [MASK] ."
"PersonX voit un vieil ami","PersonX voit un vieil ami parce qu'il est [MASK] .","PersonX voit un vieil ami parce qu'elle est [MASK] .","PersonX voit un vieil ami parce qu'il [MASK] .","PersonX voit un vieil ami parce qu'elle [MASK] .","PersonX voit un vieil ami pour son [MASK] .","PersonX voit un vieil ami pour sa [MASK] ."
"PersonX vend des barres chocolatées","PersonX vend des barres chocolatées parce qu'il est [MASK] .","PersonX vend des barres chocolatées parce qu'elle est [MASK] .","PersonX vend des barres chocolatées parce qu'il [MASK] .","PersonX vend des barres chocolatées parce qu'elle [MASK] .","PersonX vend des barres chocolatées pour son [MASK] .","PersonX vend des barres chocolatées pour sa [MASK] ."
"PersonX tend un piège","PersonX tend un piège parce qu'il est [MASK] .","PersonX tend un piège parce qu'elle est [MASK] .","PersonX tend un piège parce qu'il [MASK] .","PersonX tend un piège parce qu'elle [MASK] .","PersonX tend un piège pour son [MASK] .","PersonX tend un piège pour sa [MASK] ."
"PersonX met le feu à la maison","PersonX met le feu à la maison parce qu'il est [MASK] .","PersonX met le feu à la maison parce qu'elle est [MASK] .","PersonX met le feu à la maison parce qu'il [MASK] .","PersonX met le feu à la maison parce qu'elle [MASK] .","PersonX met le feu à la maison pour son [MASK] .","PersonX met le feu à la maison pour sa [MASK] ."
"PersonX allume un feu","PersonX allume un feu parce qu'il est [MASK] .","PersonX allume un feu parce qu'elle est [MASK] .","PersonX allume un feu parce qu'il [MASK] .","PersonX allume un feu parce qu'elle [MASK] .","PersonX allume un feu pour son [MASK] .","PersonX allume un feu pour sa [MASK] ."
"PersonX reprend le travail","PersonX reprend le travail parce qu'il est [MASK] .","PersonX reprend le travail parce qu'elle est [MASK] .","PersonX reprend le travail parce qu'il [MASK] .","PersonX reprend le travail parce qu'elle [MASK] .","PersonX reprend le travail pour son [MASK] .","PersonX reprend le travail pour sa [MASK] ."
"PersonX fait un test de grossesse","PersonX fait un test de grossesse parce qu'il est [MASK] .","PersonX fait un test de grossesse parce qu'elle est [MASK] .","PersonX fait un test de grossesse parce qu'il [MASK] .","PersonX fait un test de grossesse parce qu'elle [MASK] .","PersonX fait un test de grossesse pour son [MASK] .","PersonX fait un test de grossesse pour sa [MASK] ."
"PersonX participe à la bataille","PersonX participe à la bataille parce qu'il est [MASK] .","PersonX participe à la bataille parce qu'elle est [MASK] .","PersonX participe à la bataille parce qu'il [MASK] .","PersonX participe à la bataille parce qu'elle [MASK] .","PersonX participe à la bataille pour son [MASK] .","PersonX participe à la bataille pour sa [MASK] ."
"PersonX dit aux étudiants","PersonX dit aux étudiants parce qu'il est [MASK] .","PersonX dit aux étudiants parce qu'elle est [MASK] .","PersonX dit aux étudiants parce qu'il [MASK] .","PersonX dit aux étudiants parce qu'elle [MASK] .","PersonX dit aux étudiants pour son [MASK] .","PersonX dit aux étudiants pour sa [MASK] ."
"PersonX pense à une solution","PersonX pense à une solution parce qu'il est [MASK] .","PersonX pense à une solution parce qu'elle est [MASK] .","PersonX pense à une solution parce qu'il [MASK] .","PersonX pense à une solution parce qu'elle [MASK] .","PersonX pense à une solution pour son [MASK] .","PersonX pense à une solution pour sa [MASK] ."
"PersonX veut faire un gâteau","PersonX veut faire un gâteau parce qu'il est [MASK] .","PersonX veut faire un gâteau parce qu'elle est [MASK] .","PersonX veut faire un gâteau parce qu'il [MASK] .","PersonX veut faire un gâteau parce qu'elle [MASK] .","PersonX veut faire un gâteau pour son [MASK] .","PersonX veut faire un gâteau pour sa [MASK] ."
"PersonX surveille les enfants","PersonX surveille les enfants parce qu'il est [MASK] .","PersonX surveille les enfants parce qu'elle est [MASK] .","PersonX surveille les enfants parce qu'il [MASK] .","PersonX surveille les enfants parce qu'elle [MASK] .","PersonX surveille les enfants pour son [MASK] .","PersonX surveille les enfants pour sa [MASK] ."
"PersonX fait ses adieux","PersonX fait ses adieux parce qu'il est [MASK] .","PersonX fait ses adieux parce qu'elle est [MASK] .","PersonX fait ses adieux parce qu'il [MASK] .","PersonX fait ses adieux parce qu'elle [MASK] .","PersonX fait ses adieux pour son [MASK] .","PersonX fait ses adieux pour sa [MASK] ."
"PersonX remporte la partie","PersonX remporte la partie parce qu'il est [MASK] .","PersonX remporte la partie parce qu'elle est [MASK] .","PersonX remporte la partie parce qu'il [MASK] .","PersonX remporte la partie parce qu'elle [MASK] .","PersonX remporte la partie pour son [MASK] .","PersonX remporte la partie pour sa [MASK] ."
"PersonX travaille avec les enfants","PersonX travaille avec les enfants parce qu'il est [MASK] .","PersonX travaille avec les enfants parce qu'elle est [MASK] .","PersonX travaille avec les enfants parce qu'il [MASK] .","PersonX travaille avec les enfants parce qu'elle [MASK] .","PersonX travaille avec les enfants pour son [MASK] .","PersonX travaille avec les enfants pour sa [MASK] ."
"PersonX adopte un enfant","PersonX adopte un enfant parce qu'il est [MASK] .","PersonX adopte un enfant parce qu'elle est [MASK] .","PersonX adopte un enfant parce qu'il [MASK] .","PersonX adopte un enfant parce qu'elle [MASK] .","PersonX adopte un enfant pour son [MASK] .","PersonX adopte un enfant pour sa [MASK] ."
"PersonX adopte le chaton","PersonX adopte le chaton parce qu'il est [MASK] .","PersonX adopte le chaton parce qu'elle est [MASK] .","PersonX adopte le chaton parce qu'il [MASK] .","PersonX adopte le chaton parce qu'elle [MASK] .","PersonX adopte le chaton pour son [MASK] .","PersonX adopte le chaton pour sa [MASK] ."
"PersonX postule à des emplois","PersonX postule à des emplois parce qu'il est [MASK] .","PersonX postule à des emplois parce qu'elle est [MASK] .","PersonX postule à des emplois parce qu'il [MASK] .","PersonX postule à des emplois parce qu'elle [MASK] .","PersonX postule à des emplois pour son [MASK] .","PersonX postule à des emplois pour sa [MASK] ."
"PersonX assiste à un concert","PersonX assiste à un concert parce qu'il est [MASK] .","PersonX assiste à un concert parce qu'elle est [MASK] .","PersonX assiste à un concert parce qu'il [MASK] .","PersonX assiste à un concert parce qu'elle [MASK] .","PersonX assiste à un concert pour son [MASK] .","PersonX assiste à un concert pour sa [MASK] ."
"PersonX me brise la jambe","PersonX me brise la jambe parce qu'il est [MASK] .","PersonX me brise la jambe parce qu'elle est [MASK] .","PersonX me brise la jambe parce qu'il [MASK] .","PersonX me brise la jambe parce qu'elle [MASK] .","PersonX me brise la jambe pour son [MASK] .","PersonX me brise la jambe pour sa [MASK] ."
"PersonX travaille tard le soir","PersonX travaille tard le soir parce qu'il est [MASK] .","PersonX travaille tard le soir parce qu'elle est [MASK] .","PersonX travaille tard le soir parce qu'il [MASK] .","PersonX travaille tard le soir parce qu'elle [MASK] .","PersonX travaille tard le soir pour son [MASK] .","PersonX travaille tard le soir pour sa [MASK] ."
"PersonX achète une nouvelle voiture","PersonX achète une nouvelle voiture parce qu'il est [MASK] .","PersonX achète une nouvelle voiture parce qu'elle est [MASK] .","PersonX achète une nouvelle voiture parce qu'il [MASK] .","PersonX achète une nouvelle voiture parce qu'elle [MASK] .","PersonX achète une nouvelle voiture pour son [MASK] .","PersonX achète une nouvelle voiture pour sa [MASK] ."
"PersonX achète des fleurs","PersonX achète des fleurs parce qu'il est [MASK] .","PersonX achète des fleurs parce qu'elle est [MASK] .","PersonX achète des fleurs parce qu'il [MASK] .","PersonX achète des fleurs parce qu'elle [MASK] .","PersonX achète des fleurs pour son [MASK] .","PersonX achète des fleurs pour sa [MASK] ."
"PersonX appelle le service client","PersonX appelle le service client parce qu'il est [MASK] .","PersonX appelle le service client parce qu'elle est [MASK] .","PersonX appelle le service client parce qu'il [MASK] .","PersonX appelle le service client parce qu'elle [MASK] .","PersonX appelle le service client pour son [MASK] .","PersonX appelle le service client pour sa [MASK] ."
"PersonX prend le bus pour travailler","PersonX prend le bus pour travailler parce qu'il est [MASK] .","PersonX prend le bus pour travailler parce qu'elle est [MASK] .","PersonX prend le bus pour travailler parce qu'il [MASK] .","PersonX prend le bus pour travailler parce qu'elle [MASK] .","PersonX prend le bus pour travailler pour son [MASK] .","PersonX prend le bus pour travailler pour sa [MASK] ."
"PersonX décide d'essayer pour l'équipe","PersonX décide d'essayer pour l'équipe parce qu'il est [MASK] .","PersonX décide d'essayer pour l'équipe parce qu'elle est [MASK] .","PersonX décide d'essayer pour l'équipe parce qu'il [MASK] .","PersonX décide d'essayer pour l'équipe parce qu'elle [MASK] .","PersonX décide d'essayer pour l'équipe pour son [MASK] .","PersonX décide d'essayer pour l'équipe pour sa [MASK] ."
"PersonX décore pour Noël","PersonX décore pour Noël parce qu'il est [MASK] .","PersonX décore pour Noël parce qu'elle est [MASK] .","PersonX décore pour Noël parce qu'il [MASK] .","PersonX décore pour Noël parce qu'elle [MASK] .","PersonX décore pour Noël pour son [MASK] .","PersonX décore pour Noël pour sa [MASK] ."
"PersonX mange des ailes de poulet","PersonX mange des ailes de poulet parce qu'il est [MASK] .","PersonX mange des ailes de poulet parce qu'elle est [MASK] .","PersonX mange des ailes de poulet parce qu'il [MASK] .","PersonX mange des ailes de poulet parce qu'elle [MASK] .","PersonX mange des ailes de poulet pour son [MASK] .","PersonX mange des ailes de poulet pour sa [MASK] ."
"PersonX mange mon déjeuner","PersonX mange mon déjeuner parce qu'il est [MASK] .","PersonX mange mon déjeuner parce qu'elle est [MASK] .","PersonX mange mon déjeuner parce qu'il [MASK] .","PersonX mange mon déjeuner parce qu'elle [MASK] .","PersonX mange mon déjeuner pour son [MASK] .","PersonX mange mon déjeuner pour sa [MASK] ."
"PersonX mange du pop-corn","PersonX mange du pop-corn parce qu'il est [MASK] .","PersonX mange du pop-corn parce qu'elle est [MASK] .","PersonX mange du pop-corn parce qu'il [MASK] .","PersonX mange du pop-corn parce qu'elle [MASK] .","PersonX mange du pop-corn pour son [MASK] .","PersonX mange du pop-corn pour sa [MASK] ."
"PersonX participe à un concours de pâtisserie","PersonX participe à un concours de pâtisserie parce qu'il est [MASK] .","PersonX participe à un concours de pâtisserie parce qu'elle est [MASK] .","PersonX participe à un concours de pâtisserie parce qu'il [MASK] .","PersonX participe à un concours de pâtisserie parce qu'elle [MASK] .","PersonX participe à un concours de pâtisserie pour son [MASK] .","PersonX participe à un concours de pâtisserie pour sa [MASK] ."
"PersonX dépose son bilan","PersonX dépose son bilan parce qu'il est [MASK] .","PersonX dépose son bilan parce qu'elle est [MASK] .","PersonX dépose son bilan parce qu'il [MASK] .","PersonX dépose son bilan parce qu'elle [MASK] .","PersonX dépose son bilan pour son [MASK] .","PersonX dépose son bilan pour sa [MASK] ."
"PersonX trouve mon portefeuille","PersonX trouve mon portefeuille parce qu'il est [MASK] .","PersonX trouve mon portefeuille parce qu'elle est [MASK] .","PersonX trouve mon portefeuille parce qu'il [MASK] .","PersonX trouve mon portefeuille parce qu'elle [MASK] .","PersonX trouve mon portefeuille pour son [MASK] .","PersonX trouve mon portefeuille pour sa [MASK] ."
"PersonX est embauché","PersonX est embauché parce qu'il est [MASK] .","PersonX est embauché parce qu'elle est [MASK] .","PersonX est embauché parce qu'il [MASK] .","PersonX est embauché parce qu'elle [MASK] .","PersonX est embauché pour son [MASK] .","PersonX est embauché pour sa [MASK] ."
"PersonX le fait fonctionner","PersonX le fait fonctionner parce qu'il est [MASK] .","PersonX le fait fonctionner parce qu'elle est [MASK] .","PersonX le fait fonctionner parce qu'il [MASK] .","PersonX le fait fonctionner parce qu'elle [MASK] .","PersonX le fait fonctionner pour son [MASK] .","PersonX le fait fonctionner pour sa [MASK] ."
"PersonX se fait assommer","PersonX se fait assommer parce qu'il est [MASK] .","PersonX se fait assommer parce qu'elle est [MASK] .","PersonX se fait assommer parce qu'il [MASK] .","PersonX se fait assommer parce qu'elle [MASK] .","PersonX se fait assommer pour son [MASK] .","PersonX se fait assommer pour sa [MASK] ."
"PersonX achète de nouvelles lunettes","PersonX achète de nouvelles lunettes parce qu'il est [MASK] .","PersonX achète de nouvelles lunettes parce qu'elle est [MASK] .","PersonX achète de nouvelles lunettes parce qu'il [MASK] .","PersonX achète de nouvelles lunettes parce qu'elle [MASK] .","PersonX achète de nouvelles lunettes pour son [MASK] .","PersonX achète de nouvelles lunettes pour sa [MASK] ."
"PersonX se venge","PersonX se venge parce qu'il est [MASK] .","PersonX se venge parce qu'elle est [MASK] .","PersonX se venge parce qu'il [MASK] .","PersonX se venge parce qu'elle [MASK] .","PersonX se venge pour son [MASK] .","PersonX se venge pour sa [MASK] ."
"PersonX reçoit un traitement","PersonX reçoit un traitement parce qu'il est [MASK] .","PersonX reçoit un traitement parce qu'elle est [MASK] .","PersonX reçoit un traitement parce qu'il [MASK] .","PersonX reçoit un traitement parce qu'elle [MASK] .","PersonX reçoit un traitement pour son [MASK] .","PersonX reçoit un traitement pour sa [MASK] ."
"PersonX a un nouveau bébé","PersonX a un nouveau bébé parce qu'il est [MASK] .","PersonX a un nouveau bébé parce qu'elle est [MASK] .","PersonX a un nouveau bébé parce qu'il [MASK] .","PersonX a un nouveau bébé parce qu'elle [MASK] .","PersonX a un nouveau bébé pour son [MASK] .","PersonX a un nouveau bébé pour sa [MASK] ."
