Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX watches baseball because he is [MASK] .,PersonX watches baseball because she is [MASK] .,PersonX watches baseball because he [MASK] .,PersonX watches baseball because she [MASK] .,PersonX watches baseball because of his [MASK] .,PersonX watches baseball because of her [MASK] .,PersonX watches baseball
PersonX wears a jacket because he is [MASK] .,PersonX wears a jacket because she is [MASK] .,PersonX wears a jacket because he [MASK] .,PersonX wears a jacket because she [MASK] .,PersonX wears a jacket because of his [MASK] .,PersonX wears a jacket because of her [MASK] .,PersonX wears a jacket
PersonX wears deodorant because he is [MASK] .,PersonX wears deodorant because she is [MASK] .,PersonX wears deodorant because he [MASK] .,PersonX wears deodorant because she [MASK] .,PersonX wears deodorant because of his [MASK] .,PersonX wears deodorant because of her [MASK] .,PersonX wears deodorant
PersonX wears gloves because he is [MASK] .,PersonX wears gloves because she is [MASK] .,PersonX wears gloves because he [MASK] .,PersonX wears gloves because she [MASK] .,PersonX wears gloves because of his [MASK] .,PersonX wears gloves because of her [MASK] .,PersonX wears gloves
PersonX wins big because he is [MASK] .,PersonX wins big because she is [MASK] .,PersonX wins big because he [MASK] .,PersonX wins big because she [MASK] .,PersonX wins big because of his [MASK] .,PersonX wins big because of her [MASK] .,PersonX wins big
PersonX wins first place because he is [MASK] .,PersonX wins first place because she is [MASK] .,PersonX wins first place because he [MASK] .,PersonX wins first place because she [MASK] .,PersonX wins first place because of his [MASK] .,PersonX wins first place because of her [MASK] .,PersonX wins first place
PersonX wins the tournament because he is [MASK] .,PersonX wins the tournament because she is [MASK] .,PersonX wins the tournament because he [MASK] .,PersonX wins the tournament because she [MASK] .,PersonX wins the tournament because of his [MASK] .,PersonX wins the tournament because of her [MASK] .,PersonX wins the tournament
PersonX works extra hard because he is [MASK] .,PersonX works extra hard because she is [MASK] .,PersonX works extra hard because he [MASK] .,PersonX works extra hard because she [MASK] .,PersonX works extra hard because of his [MASK] .,PersonX works extra hard because of her [MASK] .,PersonX works extra hard
PersonX works late because he is [MASK] .,PersonX works late because she is [MASK] .,PersonX works late because he [MASK] .,PersonX works late because she [MASK] .,PersonX works late because of his [MASK] .,PersonX works late because of her [MASK] .,PersonX works late
PersonX works with animals because he is [MASK] .,PersonX works with animals because she is [MASK] .,PersonX works with animals because he [MASK] .,PersonX works with animals because she [MASK] .,PersonX works with animals because of his [MASK] .,PersonX works with animals because of her [MASK] .,PersonX works with animals
PersonX works within the framework because he is [MASK] .,PersonX works within the framework because she is [MASK] .,PersonX works within the framework because he [MASK] .,PersonX works within the framework because she [MASK] .,PersonX works within the framework because of his [MASK] .,PersonX works within the framework because of her [MASK] .,PersonX works within the framework
PersonX writes back because he is [MASK] .,PersonX writes back because she is [MASK] .,PersonX writes back because he [MASK] .,PersonX writes back because she [MASK] .,PersonX writes back because of his [MASK] .,PersonX writes back because of her [MASK] .,PersonX writes back
PersonX writes songs because he is [MASK] .,PersonX writes songs because she is [MASK] .,PersonX writes songs because he [MASK] .,PersonX writes songs because she [MASK] .,PersonX writes songs because of his [MASK] .,PersonX writes songs because of her [MASK] .,PersonX writes songs
PersonX acts like a man because he is [MASK] .,PersonX acts like a man because she is [MASK] .,PersonX acts like a man because he [MASK] .,PersonX acts like a man because she [MASK] .,PersonX acts like a man because of his [MASK] .,PersonX acts like a man because of her [MASK] .,PersonX acts like a man
PersonX adopts a new cat because he is [MASK] .,PersonX adopts a new cat because she is [MASK] .,PersonX adopts a new cat because he [MASK] .,PersonX adopts a new cat because she [MASK] .,PersonX adopts a new cat because of his [MASK] .,PersonX adopts a new cat because of her [MASK] .,PersonX adopts a new cat
PersonX adopts a pet because he is [MASK] .,PersonX adopts a pet because she is [MASK] .,PersonX adopts a pet because he [MASK] .,PersonX adopts a pet because she [MASK] .,PersonX adopts a pet because of his [MASK] .,PersonX adopts a pet because of her [MASK] .,PersonX adopts a pet
PersonX agrees to disagree because he is [MASK] .,PersonX agrees to disagree because she is [MASK] .,PersonX agrees to disagree because he [MASK] .,PersonX agrees to disagree because she [MASK] .,PersonX agrees to disagree because of his [MASK] .,PersonX agrees to disagree because of her [MASK] .,PersonX agrees to disagree
PersonX always drank because he is [MASK] .,PersonX always drank because she is [MASK] .,PersonX always drank because he [MASK] .,PersonX always drank because she [MASK] .,PersonX always drank because of his [MASK] .,PersonX always drank because of her [MASK] .,PersonX always drank
PersonX always listened because he is [MASK] .,PersonX always listened because she is [MASK] .,PersonX always listened because he [MASK] .,PersonX always listened because she [MASK] .,PersonX always listened because of his [MASK] .,PersonX always listened because of her [MASK] .,PersonX always listened
PersonX applies for a new job because he is [MASK] .,PersonX applies for a new job because she is [MASK] .,PersonX applies for a new job because he [MASK] .,PersonX applies for a new job because she [MASK] .,PersonX applies for a new job because of his [MASK] .,PersonX applies for a new job because of her [MASK] .,PersonX applies for a new job
PersonX applies for college because he is [MASK] .,PersonX applies for college because she is [MASK] .,PersonX applies for college because he [MASK] .,PersonX applies for college because she [MASK] .,PersonX applies for college because of his [MASK] .,PersonX applies for college because of her [MASK] .,PersonX applies for college
PersonX applies to college because he is [MASK] .,PersonX applies to college because she is [MASK] .,PersonX applies to college because he [MASK] .,PersonX applies to college because she [MASK] .,PersonX applies to college because of his [MASK] .,PersonX applies to college because of her [MASK] .,PersonX applies to college
PersonX applies to many jobs because he is [MASK] .,PersonX applies to many jobs because she is [MASK] .,PersonX applies to many jobs because he [MASK] .,PersonX applies to many jobs because she [MASK] .,PersonX applies to many jobs because of his [MASK] .,PersonX applies to many jobs because of her [MASK] .,PersonX applies to many jobs
PersonX asks a friend because he is [MASK] .,PersonX asks a friend because she is [MASK] .,PersonX asks a friend because he [MASK] .,PersonX asks a friend because she [MASK] .,PersonX asks a friend because of his [MASK] .,PersonX asks a friend because of her [MASK] .,PersonX asks a friend
PersonX asks a girl because he is [MASK] .,PersonX asks a girl because she is [MASK] .,PersonX asks a girl because he [MASK] .,PersonX asks a girl because she [MASK] .,PersonX asks a girl because of his [MASK] .,PersonX asks a girl because of her [MASK] .,PersonX asks a girl
PersonX asks everyone because he is [MASK] .,PersonX asks everyone because she is [MASK] .,PersonX asks everyone because he [MASK] .,PersonX asks everyone because she [MASK] .,PersonX asks everyone because of his [MASK] .,PersonX asks everyone because of her [MASK] .,PersonX asks everyone
PersonX barks up the wrong tree because he is [MASK] .,PersonX barks up the wrong tree because she is [MASK] .,PersonX barks up the wrong tree because he [MASK] .,PersonX barks up the wrong tree because she [MASK] .,PersonX barks up the wrong tree because of his [MASK] .,PersonX barks up the wrong tree because of her [MASK] .,PersonX barks up the wrong tree
PersonX becomes a millionaire because he is [MASK] .,PersonX becomes a millionaire because she is [MASK] .,PersonX becomes a millionaire because he [MASK] .,PersonX becomes a millionaire because she [MASK] .,PersonX becomes a millionaire because of his [MASK] .,PersonX becomes a millionaire because of her [MASK] .,PersonX becomes a millionaire
PersonX becomes an expert because he is [MASK] .,PersonX becomes an expert because she is [MASK] .,PersonX becomes an expert because he [MASK] .,PersonX becomes an expert because she [MASK] .,PersonX becomes an expert because of his [MASK] .,PersonX becomes an expert because of her [MASK] .,PersonX becomes an expert
PersonX begins talking because he is [MASK] .,PersonX begins talking because she is [MASK] .,PersonX begins talking because he [MASK] .,PersonX begins talking because she [MASK] .,PersonX begins talking because of his [MASK] .,PersonX begins talking because of her [MASK] .,PersonX begins talking
PersonX begins to lose weight because he is [MASK] .,PersonX begins to lose weight because she is [MASK] .,PersonX begins to lose weight because he [MASK] .,PersonX begins to lose weight because she [MASK] .,PersonX begins to lose weight because of his [MASK] .,PersonX begins to lose weight because of her [MASK] .,PersonX begins to lose weight
PersonX boards a plane because he is [MASK] .,PersonX boards a plane because she is [MASK] .,PersonX boards a plane because he [MASK] .,PersonX boards a plane because she [MASK] .,PersonX boards a plane because of his [MASK] .,PersonX boards a plane because of her [MASK] .,PersonX boards a plane
